name,time,star_rank,star_normalized_rank,push_rank,push_normalized_rank,pull_rank,pull_normalized_rank,issue_rank,issue_normalized_rank
Ruby,2016_4,10.0,8.0,7.0,14.0,5.0,15.0,8.0,11.0
C_sharp,2016_4,11.0,14.0,8.0,17.0,9.0,13.0,6.0,7.0
TypeScript,2016_4,12.0,17.0,10.0,18.0,10.0,17.0,10.0,16.0
Rust,2016_4,13.0,9.0,14.0,8.0,14.0,9.0,14.0,12.0
Scala,2016_4,14.0,3.0,13.0,11.0,11.0,11.0,13.0,3.0
Lua,2016_4,15.0,4.0,15.0,15.0,16.0,5.0,15.0,10.0
Kotlin,2016_4,16.0,18.0,18.0,19.0,18.0,19.0,18.0,19.0
Perl,2016_4,17.0,10.0,16.0,10.0,15.0,10.0,16.0,1.0
R,2016_4,18.0,12.0,17.0,12.0,17.0,12.0,17.0,17.0
Dart,2016_4,19.0,19.0,19.0,16.0,19.0,18.0,19.0,18.0
JavaScript,2017_1,1.0,3.0,1.0,6.0,1.0,3.0,1.0,8.0
Java,2017_1,2.0,7.0,3.0,5.0,3.0,9.0,2.0,4.0
Python,2017_1,3.0,13.0,2.0,2.0,2.0,8.0,3.0,5.0
Go,2017_1,4.0,9.0,9.0,7.0,6.0,13.0,6.0,1.0
C_plus_plus,2017_1,5.0,15.0,5.0,12.0,7.0,10.0,5.0,9.0
Swift,2017_1,6.0,8.0,11.0,4.0,12.0,6.0,12.0,12.0
PHP,2017_1,7.0,16.0,4.0,3.0,4.0,5.0,4.0,7.0
C,2017_1,8.0,2.0,6.0,9.0,9.0,2.0,10.0,14.0
Objective-C,2017_1,9.0,14.0,13.0,14.0,14.0,15.0,11.0,11.0
Ruby,2017_1,10.0,10.0,8.0,13.0,5.0,16.0,9.0,13.0
C_sharp,2017_1,11.0,12.0,7.0,16.0,8.0,4.0,7.0,3.0
TypeScript,2017_1,12.0,17.0,10.0,17.0,10.0,17.0,8.0,16.0
Rust,2017_1,13.0,1.0,14.0,10.0,13.0,7.0,14.0,6.0
Scala,2017_1,14.0,6.0,12.0,8.0,11.0,11.0,13.0,1.0
Lua,2017_1,15.0,4.0,15.0,15.0,15.0,1.0,15.0,10.0
Perl,2017_1,16.0,5.0,16.0,1.0,16.0,14.0,16.0,15.0
Kotlin,2017_1,17.0,18.0,18.0,19.0,17.0,18.0,17.0,18.0
R,2017_1,18.0,11.0,17.0,11.0,18.0,12.0,18.0,17.0
Dart,2017_1,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0
JavaScript,2017_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
Python,2017_2,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0
Java,2017_2,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0
Go,2017_2,4.0,8.0,8.0,1.0,6.0,13.0,6.0,12.0
C_plus_plus,2017_2,5.0,16.0,4.0,16.0,7.0,1.0,5.0,1.0
Swift,2017_2,6.0,9.0,11.0,11.0,12.0,1.0,11.0,13.0
PHP,2017_2,7.0,18.0,5.0,12.0,4.0,12.0,4.0,11.0
C,2017_2,8.0,5.0,7.0,14.0,10.0,10.0,10.0,16.0
Ruby,2017_2,9.0,12.0,9.0,17.0,5.0,14.0,9.0,14.0
Objective-C,2017_2,10.0,15.0,13.0,15.0,14.0,15.0,12.0,15.0
C_sharp,2017_2,11.0,11.0,6.0,1.0,8.0,1.0,7.0,1.0
TypeScript,2017_2,12.0,17.0,10.0,1.0,9.0,17.0,8.0,1.0
Rust,2017_2,13.0,4.0,14.0,10.0,13.0,1.0,14.0,1.0
Scala,2017_2,14.0,6.0,12.0,1.0,11.0,11.0,13.0,9.0
Kotlin,2017_2,15.0,13.0,18.0,1.0,17.0,18.0,16.0,18.0
Lua,2017_2,16.0,10.0,15.0,18.0,15.0,9.0,15.0,1.0
Perl,2017_2,17.0,14.0,17.0,13.0,16.0,16.0,17.0,17.0
R,2017_2,18.0,7.0,16.0,1.0,18.0,1.0,18.0,1.0
Dart,2017_2,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
JavaScript,2017_3,1.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0
Python,2017_3,2.0,8.0,2.0,7.0,2.0,8.0,3.0,8.0
Java,2017_3,3.0,2.0,3.0,8.0,3.0,10.0,2.0,6.0
Go,2017_3,4.0,15.0,8.0,3.0,5.0,4.0,6.0,13.0
C_plus_plus,2017_3,5.0,12.0,5.0,16.0,7.0,3.0,5.0,1.0
PHP,2017_3,6.0,18.0,6.0,15.0,6.0,9.0,4.0,9.0
C,2017_3,7.0,3.0,7.0,10.0,8.0,1.0,9.0,14.0
Swift,2017_3,8.0,13.0,12.0,14.0,12.0,7.0,12.0,11.0
Objective-C,2017_3,9.0,14.0,14.0,19.0,14.0,13.0,11.0,10.0
Ruby,2017_3,10.0,10.0,9.0,17.0,4.0,14.0,10.0,16.0
C_sharp,2017_3,11.0,7.0,4.0,1.0,10.0,15.0,8.0,12.0
TypeScript,2017_3,12.0,17.0,10.0,13.0,9.0,17.0,7.0,2.0
Rust,2017_3,13.0,6.0,13.0,6.0,13.0,2.0,14.0,5.0
Scala,2017_3,14.0,5.0,11.0,2.0,11.0,5.0,13.0,3.0
Lua,2017_3,15.0,4.0,15.0,18.0,15.0,6.0,15.0,7.0
Kotlin,2017_3,16.0,11.0,18.0,12.0,17.0,18.0,16.0,18.0
Perl,2017_3,17.0,16.0,16.0,4.0,16.0,16.0,17.0,17.0
R,2017_3,18.0,9.0,17.0,11.0,18.0,12.0,18.0,15.0
Dart,2017_3,19.0,19.0,19.0,9.0,19.0,19.0,19.0,19.0
JavaScript,2017_4,1.0,3.0,1.0,13.0,1.0,10.0,1.0,5.0
Python,2017_4,2.0,8.0,2.0,6.0,2.0,9.0,2.0,8.0
Java,2017_4,3.0,7.0,3.0,7.0,3.0,11.0,3.0,6.0
Go,2017_4,4.0,6.0,9.0,9.0,6.0,8.0,7.0,13.0
C_plus_plus,2017_4,5.0,4.0,4.0,12.0,7.0,2.0,5.0,1.0
PHP,2017_4,6.0,16.0,6.0,14.0,5.0,5.0,4.0,3.0
C,2017_4,7.0,2.0,7.0,5.0,8.0,1.0,9.0,11.0
Swift,2017_4,8.0,17.0,12.0,11.0,12.0,6.0,11.0,10.0
Ruby,2017_4,9.0,12.0,8.0,10.0,4.0,14.0,10.0,15.0
C_sharp,2017_4,10.0,10.0,5.0,1.0,9.0,17.0,8.0,4.0
TypeScript,2017_4,11.0,15.0,10.0,19.0,10.0,18.0,6.0,2.0
Objective-C,2017_4,12.0,18.0,13.0,16.0,14.0,12.0,12.0,9.0
Rust,2017_4,13.0,1.0,14.0,4.0,13.0,4.0,13.0,7.0
Scala,2017_4,14.0,5.0,11.0,3.0,11.0,7.0,14.0,12.0
Kotlin,2017_4,15.0,11.0,17.0,8.0,17.0,16.0,15.0,18.0
Lua,2017_4,16.0,13.0,16.0,18.0,15.0,3.0,16.0,17.0
Perl,2017_4,17.0,14.0,15.0,2.0,16.0,15.0,17.0,16.0
R,2017_4,18.0,9.0,18.0,15.0,19.0,13.0,18.0,14.0
Dart,2017_4,19.0,19.0,19.0,17.0,18.0,19.0,19.0,19.0
