name,time,star_rank,star_normalized_rank,push_rank,push_normalized_rank,pull_rank,pull_normalized_rank,issue_rank,issue_normalized_rank
JavaScript,2018_1,1.0,7.0,1.0,4.0,1.0,9.0,1.0,9.0
Python,2018_1,2.0,9.0,2.0,8.0,2.0,7.0,2.0,7.0
Java,2018_1,3.0,10.0,3.0,13.0,3.0,11.0,3.0,11.0
Go,2018_1,4.0,1.0,8.0,6.0,4.0,3.0,6.0,4.0
PHP,2018_1,5.0,1.0,6.0,10.0,7.0,14.0,4.0,10.0
C_plus_plus,2018_1,6.0,1.0,5.0,17.0,6.0,4.0,5.0,3.0
C,2018_1,7.0,5.0,9.0,16.0,10.0,13.0,9.0,14.0
Swift,2018_1,8.0,16.0,12.0,12.0,12.0,5.0,11.0,8.0
TypeScript,2018_1,9.0,13.0,10.0,3.0,8.0,6.0,7.0,1.0
C_sharp,2018_1,10.0,1.0,4.0,2.0,9.0,16.0,8.0,6.0
Ruby,2018_1,11.0,17.0,7.0,15.0,5.0,15.0,10.0,17.0
Objective-C,2018_1,12.0,18.0,14.0,19.0,14.0,18.0,12.0,15.0
Rust,2018_1,13.0,6.0,13.0,9.0,13.0,8.0,14.0,12.0
Scala,2018_1,14.0,12.0,11.0,7.0,11.0,12.0,13.0,13.0
Kotlin,2018_1,15.0,11.0,15.0,1.0,15.0,2.0,15.0,5.0
Lua,2018_1,16.0,15.0,18.0,18.0,16.0,10.0,16.0,16.0
Perl,2018_1,17.0,14.0,17.0,11.0,17.0,17.0,18.0,18.0
R,2018_1,18.0,8.0,16.0,5.0,19.0,1.0,17.0,2.0
Dart,2018_1,19.0,19.0,19.0,14.0,18.0,19.0,19.0,19.0
JavaScript,2018_2,1.0,3.0,1.0,7.0,1.0,8.0,1.0,8.0
Python,2018_2,2.0,12.0,2.0,11.0,2.0,9.0,3.0,10.0
Java,2018_2,3.0,6.0,3.0,14.0,3.0,11.0,2.0,5.0
Go,2018_2,4.0,5.0,8.0,6.0,4.0,7.0,6.0,9.0
